chin_y,shoulder_avg_y,label
0.666305422782898,0.7760712802410126,straight
0.6711724996566772,0.7731869220733643,straight
0.6703171730041504,0.771348774433136,straight
0.6694177985191345,0.7709175050258636,straight
0.6686833500862122,0.7703616619110107,straight
0.6680628657341003,0.7675924301147461,straight
0.6684525012969971,0.7673650979995728,straight
0.6682859659194946,0.7706618905067444,straight
0.6690576076507568,0.7704944312572479,straight
0.6694797277450562,0.7712056636810303,straight
0.8504570722579956,0.853798121213913,slouched
0.8583464026451111,0.844742476940155,slouched
0.859958291053772,0.84480419754982,slouched
0.863239586353302,0.8455874621868134,slouched
0.8636704683303833,0.8457021117210388,slouched
0.8661331534385681,0.8459478914737701,slouched
0.9625795483589172,0.8724746108055115,slouched
0.8537219166755676,0.8384840488433838,slouched
0.8578407168388367,0.8363951146602631,slouched
